page_id,id,group,state,render,device_pass
AC-009,AC-009-account-appeal-normal-appeal-pending-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""normal"", ""variant"": ""appeal-pending"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-normal-appeal-pending-ordinary.png,False
AC-009,AC-009-account-appeal-normal-appeal-rejected-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""normal"", ""variant"": ""appeal-rejected"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-normal-appeal-rejected-ordinary.png,False
AC-010,AC-010-account-cancel-error-normal-ordinary,state,"{""manifestId"": ""AC-010"", ""readTarget"": ""account.cancel"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.cancel""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-010-account-cancel-error-normal-ordinary.png,False
AC-010,AC-010-account-cancel-loading-normal-ordinary,state,"{""manifestId"": ""AC-010"", ""readTarget"": ""account.cancel"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.cancel""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-010-account-cancel-loading-normal-ordinary.png,False
AC-010,AC-010-account-cancel-normal-cancel-blocked-ordinary,state,"{""manifestId"": ""AC-010"", ""readTarget"": ""account.cancel"", ""state"": ""normal"", ""variant"": ""cancel-blocked"", ""role"": ""ordinary"", ""readCalls"": [""account.cancel""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-010-account-cancel-normal-cancel-blocked-ordinary.png,False
AC-010,AC-010-account-cancel-normal-cancel-cooling-closed-ordinary,state,"{""manifestId"": ""AC-010"", ""readTarget"": ""account.cancel"", ""state"": ""normal"", ""variant"": ""cancel-cooling-closed"", ""role"": ""ordinary"", ""readCalls"": [""account.cancel""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-010-account-cancel-normal-cancel-cooling-closed-ordinary.png,False
AC-010,AC-010-account-cancel-normal-cancel-cooling-open-ordinary,state,"{""manifestId"": ""AC-010"", ""readTarget"": ""account.cancel"", ""state"": ""normal"", ""variant"": ""cancel-cooling-open"", ""role"": ""ordinary"", ""readCalls"": [""account.cancel""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-010-account-cancel-normal-cancel-cooling-open-ordinary.png,False
AC-011,AC-011-account-version-error-normal-ordinary,state,"{""manifestId"": ""AC-011"", ""readTarget"": ""account.version"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.version""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-011-account-version-error-normal-ordinary.png,False
AC-011,AC-011-account-version-loading-normal-ordinary,state,"{""manifestId"": ""AC-011"", ""readTarget"": ""account.version"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.version""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-011-account-version-loading-normal-ordinary.png,False
AC-011,AC-011-account-version-normal-version-current-ordinary,state,"{""manifestId"": ""AC-011"", ""readTarget"": ""account.version"", ""state"": ""normal"", ""variant"": ""version-current"", ""role"": ""ordinary"", ""readCalls"": [""account.version""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-011-account-version-normal-version-current-ordinary.png,False
AC-011,AC-011-account-version-normal-version-mandatory-ordinary,state,"{""manifestId"": ""AC-011"", ""readTarget"": ""account.version"", ""state"": ""normal"", ""variant"": ""version-mandatory"", ""role"": ""ordinary"", ""readCalls"": [""account.version""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-011-account-version-normal-version-mandatory-ordinary.png,False
AC-011,AC-011-account-version-normal-version-optional-ordinary,state,"{""manifestId"": ""AC-011"", ""readTarget"": ""account.version"", ""state"": ""normal"", ""variant"": ""version-optional"", ""role"": ""ordinary"", ""readCalls"": [""account.version""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-011-account-version-normal-version-optional-ordinary.png,False
AC-012,AC-012-account-snapshot-error-normal-ordinary,state,"{""manifestId"": ""AC-012"", ""readTarget"": ""account.snapshot"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-012-account-snapshot-error-normal-ordinary.png,False
AC-012,AC-012-account-snapshot-loading-normal-ordinary,state,"{""manifestId"": ""AC-012"", ""readTarget"": ""account.snapshot"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-012-account-snapshot-loading-normal-ordinary.png,False
AC-012,AC-012-account-snapshot-normal-youth-locked-ordinary,state,"{""manifestId"": ""AC-012"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""youth-locked"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-012-account-snapshot-normal-youth-locked-ordinary.png,False
CM-001,CM-001-commerce-ledger-empty-normal-ordinary,state,"{""manifestId"": ""CM-001"", ""readTarget"": ""commerce.ledger"", ""state"": ""empty"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""commerce.wallet"", ""commerce.ledger""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-001-commerce-ledger-empty-normal-ordinary.png,False
CM-001,CM-001-commerce-ledger-error-normal-ordinary,state,"{""manifestId"": ""CM-001"", ""readTarget"": ""commerce.ledger"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""commerce.wallet"", ""commerce.ledger""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-001-commerce-ledger-error-normal-ordinary.png,False
CM-001,CM-001-commerce-ledger-loading-normal-ordinary,state,"{""manifestId"": ""CM-001"", ""readTarget"": ""commerce.ledger"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""commerce.wallet"", ""commerce.ledger""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-001-commerce-ledger-loading-normal-ordinary.png,False
CM-002,CM-002-catalog-products-empty-normal-ordinary,state,"{""manifestId"": ""CM-002"", ""readTarget"": ""catalog.products"", ""state"": ""empty"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""catalog.products"", ""commerce.wallet"", ""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-002-catalog-products-empty-normal-ordinary.png,False
CM-002,CM-002-catalog-products-error-normal-ordinary,state,"{""manifestId"": ""CM-002"", ""readTarget"": ""catalog.products"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""catalog.products"", ""commerce.wallet"", ""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-002-catalog-products-error-normal-ordinary.png,False
CM-002,CM-002-catalog-products-loading-normal-ordinary,state,"{""manifestId"": ""CM-002"", ""readTarget"": ""catalog.products"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""catalog.products"", ""commerce.wallet"", ""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-002-catalog-products-loading-normal-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-canceled-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-canceled"", ""role"": ""ordinary"", ""readCalls"": [], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-canceled-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-confirming-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-confirming"", ""role"": ""ordinary"", ""readCalls"": [""catalog.result""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-confirming-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-created-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-created"", ""role"": ""ordinary"", ""readCalls"": [""catalog.result""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-created-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-failed-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-failed"", ""role"": ""ordinary"", ""readCalls"": [], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-failed-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-invoking-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-invoking"", ""role"": ""ordinary"", ""readCalls"": [""catalog.result""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-invoking-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-succeeded-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-succeeded"", ""role"": ""ordinary"", ""readCalls"": [""catalog.result""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-succeeded-ordinary.png,False
CM-004,CM-004-catalog-result-normal-payment-unavailable-ordinary,state,"{""manifestId"": ""CM-004"", ""readTarget"": ""catalog.result"", ""state"": ""normal"", ""variant"": ""payment-unavailable"", ""role"": ""ordinary"", ""readCalls"": [""catalog.result""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-004-catalog-result-normal-payment-unavailable-ordinary.png,False
CM-005,CM-005-commerce-orders-empty-normal-ordinary,state,"{""manifestId"": ""CM-005"", ""readTarget"": ""commerce.orders"", ""state"": ""empty"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""commerce.orders""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-005-commerce-orders-empty-normal-ordinary.png,False
CM-005,CM-005-commerce-orders-error-normal-ordinary,state,"{""manifestId"": ""CM-005"", ""readTarget"": ""commerce.orders"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""commerce.orders""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/CM-005-commerce-orders-error-normal-ordinary.png,False
